Price,Close,High,Low,Open,Volume,label
Ticker,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,0
2024-03-04,0.00014400000509340316,0.00017299999308306724,0.00014000000373926014,0.00014699999883305281,1167775937,0
2024-03-05,0.00011600000289035961,0.00016500000492669642,9.40000027185306e-05,0.00014400000509340316,813387922,0
2024-03-06,0.00013099999341648072,0.00015999999595806003,0.00011000000085914508,0.00011600000289035961,658637930,0
2024-03-07,0.00014000000373926014,0.00014699999883305281,0.00012099999730708078,0.00013099999341648072,402428501,0
2024-03-08,0.00023400000645779073,0.00024199999461416155,0.00013899999612476677,0.00014000000373926014,2455189649,0
2024-03-09,0.00023999999393709004,0.0002770000137388706,0.00023099999816622585,0.00023400000645779073,1755554700,0
2024-03-10,0.0002730000123847276,0.000295000005280599,0.00022200000239536166,0.00023999999393709004,1650538775,0
2024-03-11,0.00029600001289509237,0.00029799999902024865,0.0002469999890308827,0.0002730000123847276,1816200169,0
2024-03-12,0.0002699999895412475,0.00030499999411404133,0.0002589999930933118,0.00029600001289509237,1169278024,0
2024-03-13,0.0002699999895412475,0.00028899998869746923,0.00026500000967644155,0.0002699999895412475,735434146,0
2024-03-14,0.00027799999224953353,0.0003110000106971711,0.0002610000083222985,0.0002699999895412475,1449466639,0
2024-03-15,0.00026699999580159783,0.00028700000257231295,0.00023299999884329736,0.00027799999224953353,924335774,0
2024-03-16,0.00021399999968707561,0.00027099999715574086,0.00020500000391621143,0.00026699999580159783,742878209,0
2024-03-17,0.00022499999613501132,0.00023600000713486224,0.00020500000391621143,0.00021399999968707561,656868212,0
2024-03-18,0.00019299999985378236,0.0002229999954579398,0.0001829999964684248,0.0002229999954579398,495462575,0
2024-03-19,0.00017699999443721026,0.00019700000120792538,0.0001610000035725534,0.00019200000679120421,647331759,0
2024-03-20,0.00023299999884329736,0.00023700000019744039,0.00016999999934341758,0.00017699999443721026,832922339,0
2024-03-21,0.00021399999968707561,0.0002570000069681555,0.00020599999697878957,0.00023299999884329736,982513654,0
2024-03-22,0.00022600000374950469,0.00024900000425986946,0.00020900000527035445,0.00021399999968707561,900414611,0
2024-03-23,0.00022899999748915434,0.0002469999890308827,0.00022400000307243317,0.00022600000374950469,647084143,0
2024-03-24,0.00023999999393709004,0.00024300000222865492,0.0002229999954579398,0.00022899999748915434,438019903,0
2024-03-25,0.0002410000015515834,0.0002629999944474548,0.0002280000044265762,0.00023999999393709004,719445272,0
2024-03-26,0.00024199999461416155,0.0002530000056140125,0.00023499999952036887,0.0002410000015515834,525447415,0
2024-03-27,0.00022499999613501132,0.0002460000105202198,0.00022400000307243317,0.00024199999461416155,369096053,0
2024-03-28,0.0002519999979995191,0.00026500000967644155,0.00021600000036414713,0.00022499999613501132,1015379295,0
